tempo_h;natural;ALT-J sem Forqueta;ALT-J + FQ1;ALT-J + FQ2;ALT-J + FQ1 + FQ2 (inviavel);FQ1 isolado;FQ2 isolado;ALT-A (E02+E04) + FQ1
0,0;926,0;276,6;179,8;185,8;179,8;829,2;835,2;372,3
1,0;938,5;656,3;652,0;652,3;604,5;934,1;934,4;933,6
2,0;1012,1;1004,2;979,2;980,8;965,4;987,0;988,6;983,4
3,0;1177,2;1156,1;1101,5;1104,9;1064,1;1122,5;1125,9;1113,3
4,0;1442,1;1402,4;1317,4;1322,7;1251,9;1357,1;1362,4;1340,4
5,0;1801,1;1738,9;1477,0;1493,3;1465,3;1539,3;1555,5;1513,7
6,0;2241,7;2154,2;1631,6;1664,0;1631,6;1719,1;1751,6;1683,8
7,0;2747,7;2633,2;1826,0;1876,1;1826,0;1940,5;1990,6;1894,9
8,0;3302,3;3160,1;2058,8;2127,2;2058,8;2201,1;2269,4;2145,0
9,0;3890,0;3719,8;2343,8;2425,3;2328,0;2513,9;2595,4;2447,3
10,0;4496,6;4238,6;2612,2;2709,1;2570,5;2870,1;2967,0;2672,3
11,0;5110,4;4683,9;2833,3;2943,9;2762,4;3259,8;3370,4;2888,6
12,0;5722,2;5083,8;3026,5;3154,2;2937,7;3664,8;3792,5;3101,6
13,0;6324,5;5434,4;3185,5;3325,1;3096,8;4075,6;4215,2;3303,1
14,0;6912,1;5743,8;3338,5;3487,8;3249,7;4506,8;4656,1;3509,4
15,0;7481,5;6017,7;3491,7;3648,5;3403,0;4955,5;5112,4;3719,0
16,0;8030,4;6256,0;3644,4;3806,6;3555,7;5418,9;5581,0;3930,7
17,0;8557,7;6459,6;3796,0;3961,4;3711,4;5894,1;6059,5;4143,7
18,0;9063,1;6638,4;3953,9;4120,6;3874,9;6378,7;6545,3;4357,0
19,0;9546,9;6807,6;4130,8;4297,0;4057,0;6870,0;7036,2;4589,9
20,0;10009,7;6959,7;4315,7;4479,8;4247,1;7365,8;7529,9;4824,5
21,0;10452,7;6993,5;4404,5;4565,2;4340,9;7863,7;8024,4;5087,1
22,0;10876,8;7005,3;4490,1;4646,3;4431,3;8361,5;8517,7;5360,3
23,0;11283,1;6998,4;4572,7;4723,3;4518,3;8857,3;9007,9;5631,9
24,0;11672,8;6975,9;4652,3;4796,5;4602,2;9349,1;9493,4;5895,4
25,0;12046,7;6940,7;4729,1;4894,4;4683,0;9835,1;10000,4;6148,0
26,0;12405,7;6895,4;4803,1;5776,5;4761,2;10313,4;11286,8;6397,7
27,0;12750,6;6842,5;4874,5;6226,4;4844,7;10782,6;12134,5;6640,7
28,0;13081,7;6784,0;4943,3;6446,4;4936,2;11241,0;12744,1;6873,3
29,0;13399,6;6721,8;5009,5;6541,6;5009,5;11687,3;13219,4;7101,6
30,0;13704,5;6690,1;5105,9;6600,8;5105,9;12120,3;13615,2;7322,4
31,0;13996,4;6706,9;5249,2;6671,0;5249,2;12538,7;13960,5;7532,2
32,0;14275,5;6722,3;5388,2;6718,1;5388,2;12941,4;14271,3;7736,0
33,0;14541,6;6736,6;5547,0;6792,9;5522,6;13352,0;14597,9;7957,1
34,0;14794,6;6750,4;5871,0;6804,8;5652,3;13915,2;14849,0;8337,5
35,0;15034,4;6764,3;6106,8;6816,4;5777,2;14376,9;15086,5;8627,1
36,0;15260,6;6751,0;6254,2;6800,6;5869,7;14763,8;15310,3;8853,1
37,0;15473,1;6735,0;6356,1;6782,1;5954,1;15094,1;15520,2;9030,4
38,0;15671,5;6722,2;6430,5;6766,6;6036,1;15379,8;15716,0;9174,1
39,0;15855,7;6712,2;6485,9;6754,0;6115,2;15629,3;15897,5;9293,6
40,0;16025,4;6705,0;6528,0;6744,2;6191,6;15848,3;16064,5;9392,6
41,0;16180,3;6700,4;6561,0;6736,9;6264,9;16040,9;16216,9;9475,6
42,0;16320,4;6698,0;6587,4;6732,0;6335,0;16209,8;16354,4;9546,9
43,0;16445,4;6697,5;6609,3;6729,1;6401,9;16357,2;16477,0;9607,8
44,0;16555,3;6698,8;6627,9;6728,0;6465,4;16484,4;16584,5;9658,9
45,0;16650,0;6692,4;6635,1;6719,3;6516,5;16592,7;16677,0;9701,6
46,0;16729,6;6682,9;6636,3;6707,7;6559,9;16683,0;16754,4;9737,8
47,0;16794,0;6674,7;6636,6;6697,5;6600,3;16755,8;16816,8;9766,8
48,0;16843,4;6667,6;6637,6;6688,4;6637,6;16813,5;16864,3;9790,9
49,0;16877,9;6661,1;6671,9;6680,2;6671,9;16888,7;16897,0;9842,3
50,0;16897,7;6655,1;6703,0;6672,5;6703,0;16945,7;16915,2;9886,0
51,0;16903,1;6649,2;6731,0;6665,1;6731,0;16984,9;16918,9;9921,2
52,0;16894,2;6643,4;6756,0;6657,9;6756,0;17006,8;16908,6;9948,2
53,0;16871,5;6637,4;6777,9;6650,5;6777,9;17012,0;16884,6;9967,7
54,0;16835,2;6631,0;6796,9;6642,9;6796,9;17001,0;16847,0;9974,3
55,0;16785,7;6624,0;6812,8;6634,8;6812,8;16974,5;16796,4;9974,3
56,0;16723,5;6616,6;6826,1;6626,3;6826,1;16933,0;16733,2;9953,9
57,0;16648,9;6610,9;6839,1;6619,7;6839,1;16877,1;16657,7;9927,4
58,0;16562,5;6603,3;6848,4;6611,2;6848,4;16807,5;16570,4;9895,1
59,0;16464,6;6597,7;6858,0;6604,9;6858,0;16724,9;16471,7;9857,3
60,0;16355,8;6593,0;6866,9;6599,4;6866,9;16629,7;16362,2;9814,3
61,0;16236,6;6588,3;6874,5;6594,0;6874,5;16522,8;16242,3;9766,3
62,0;16107,5;6583,0;6880,2;6588,2;6880,2;16404,6;16112,6;9713,6
63,0;15968,9;6560,8;6867,9;6565,5;6867,9;16276,0;15973,5;9656,4
64,0;15821,5;6523,2;6839,1;6527,3;6839,1;16137,4;15825,6;9595,1
65,0;15665,7;6484,8;6808,6;6488,5;6808,6;15989,5;15669,4;9529,8
66,0;15502,1;6445,7;6776,6;6449,0;6776,6;15832,9;15505,4;9460,9
